# sol, vortex, baseline, baseline_unc, slope, slope_unc, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, conv
68, 0, 751.141, 0.0120716, -0.857532, 2.14399, 14.1425, 2.40947e-05, 0.94168, 0.0230037, 7.32391, 0.356575, 22.4645
68, 1, 750.87, 0.0080813, 2.32982, 0.495562, 14.4107, 4.49677e-05, 0.781779, 0.0109299, 23.6498, 0.698236, 17.7874
68, 2, 750.791, 0.00649954, -0.497866, 0.55756, 14.5098, 5.50312e-05, 0.423341, 0.0102171, 16.0556, 0.813657, 10.092
68, 3, 749.812, 0.00645661, 5.33367, 0.161248, 12.9596, 0.000209197, 0.393374, 0.0107295, 54.0982, 2.98767, 9.10716
68, 4, 751.29, 0.0266526, 7.4515, 0.857395, 14.1659, 0.000230409, 0.431733, 0.0237312, 48.2722, 4.69543, 8.38635
68, 5, 747.939, 0.0121091, -3.82173, 0.0790921, 11.3741, 0.000459387, 0.437161, 0.0104409, 228.332, 9.47738, 7.62671
68, 6, 761.404, 0.00305851, -4.50001, 0.29683, 8.84332, 6.43058e-05, 0.228421, 0.0124993, 8.42649, 0.754644, 7.05709
68, 7, 748.216, 0.0120474, 3.48661, 0.152559, 12.0581, 0.000675777, 0.254082, 0.012242, 112.301, 11.5624, 7.00346
57, 0, 747.99, 0.119814, -0.470866, 12.1383, 12.6475, 0.000101954, 2.85409, 0.148628, 14.4607, 1.63854, 62.3041
57, 1, 745.03, 0.117229, 1.91854, 24.717, 10.9753, 5.8146e-05, 2.75132, 0.171367, 6.7326, 0.88025, 53.1722
57, 2, 747.938, 0.0172982, 13.8357, 2.0713, 12.6981, 4.69525e-05, 1.0122, 0.0299718, 11.272, 0.674619, 24.9412
50, 0, 742.291, 0.00962018, 13.883, 1.19189, 11.8369, 2.99828e-05, 1.09193, 0.0263625, 8.86937, 0.379784, 23.2061
50, 1, 739.231, 0.0283795, -5.52181, 6.7391, 15.3965, 2.61748e-05, 1.39565, 0.0465348, 5.91222, 0.392865, 22.9222
50, 2, 736.369, 0.0152577, 0.399072, 0.447113, 16.5241, 0.000128977, 0.890141, 0.0174008, 51.0581, 2.17245, 16.9243
50, 3, 746.003, 0.0096794, -4.94135, 1.4407, 13.5135, 4.57545e-05, 0.676484, 0.0469385, 4.74079, 0.522683, 12.1989
50, 4, 741.441, 0.0220922, 7.62535, 0.461777, 11.3295, 0.000241882, 0.795381, 0.0224028, 71.1638, 4.27809, 10.1676
50, 5, 741.789, 0.00978542, 2.42939, 1.05514, 11.5481, 4.74949e-05, 0.608674, 0.0163717, 12.4073, 0.691337, 9.78996
50, 6, 741.58, 0.01302, 0.222111, 0.619465, 11.414, 0.000108665, 0.54655, 0.0146951, 31.2715, 1.84226, 9.05692
50, 7, 741.075, 0.0409862, 41.9742, 3.27617, 11.3357, 0.000149119, 0.329767, 0.0349766, 18.2888, 3.26816, 7.97434
50, 8, 743.657, 0.0226199, 7.34545, 0.268162, 12.1811, 0.000695219, 0.503822, 0.0229454, 122.719, 12.0401, 7.81594
59, 0, 751.224, 0.0302503, 29.0354, 11.9982, 13.1248, 1.51479e-05, 1.88305, 0.0636428, 3.19165, 0.20769, 26.2617
59, 1, 751.229, 0.0138484, -12.0024, 2.88462, 14.1325, 2.99943e-05, 0.802795, 0.027891, 6.14302, 0.412938, 15.0572
59, 2, 751.828, 0.00837106, 29.0825, 2.20938, 13.3063, 1.32133e-05, 0.776581, 0.0144035, 5.09216, 0.190367, 12.343
59, 3, 750.584, 0.00790309, -5.68723, 0.37523, 12.9206, 9.89135e-05, 0.489216, 0.0120255, 29.201, 1.49676, 10.7668
59, 4, 745.461, 0.0115346, -4.51693, 0.196805, 15.6175, 0.0002014, 0.643132, 0.0119084, 88.6999, 3.51607, 10.1319
59, 5, 744.98, inf, 63.6727, inf, 15.6265, inf, 0.0734764, inf, 3.6326, inf, 7.38865
59, 6, 752.288, 0.00720162, 3.54968, 0.101056, 13.707, 0.000296202, 0.333563, 0.00748796, 105.602, 5.10959, 7.22964
59, 7, 748.567, 0.00511735, 3.10403, 0.260535, 12.2179, 0.000102907, 0.334024, 0.00931311, 25.8078, 1.4486, 7.04978
66, 0, 749.294, 0.018372, -4.91686, 2.78595, 13.6887, 7.12884e-05, 0.628443, 0.039339, 8.29203, 0.96124, 14.9714
66, 1, 747.756, 0.00435807, 6.70062, 0.268305, 12.8325, 7.6817e-05, 0.375504, 0.010801, 18.3225, 0.98138, 8.11052
66, 2, 747.621, 0.00885625, 1.25, 0.139033, 12.7331, 0.00033525, 0.33936, 0.00949613, 95.3831, 5.7207, 7.55387
61, 0, 750.587, 0.0523507, 38.1183, 13.8949, 13.2419, 3.73942e-05, 1.77198, 0.104063, 4.86715, 0.550078, 30.8895
61, 1, 749.6, 0.0450907, 16.4193, 3.76613, 12.6621, 8.27487e-05, 1.41987, 0.0508309, 18.1096, 1.38731, 28.2548
61, 2, 746.476, 0.0109176, 9.25829, 0.517967, 10.8831, 0.000171008, 0.438991, 0.0193869, 27.6039, 2.46003, 11.2857
61, 3, 748.297, 0.00599384, -2.18055, 0.421138, 12.1926, 7.00749e-05, 0.399513, 0.0105868, 19.2122, 1.01752, 9.10866
61, 4, 746.433, 0.00516135, -6.68833, 0.266613, 14.9829, 0.000104733, 0.336884, 0.0103503, 24.5937, 1.45043, 8.947
61, 5, 746.57, 0.0136016, 1.08045, 0.13831, 11.2643, 0.000537968, 0.348511, 0.0124889, 151.349, 10.4451, 8.59254
61, 6, 746.739, 0.00664054, -4.66293, 0.449612, 14.899, 9.72948e-05, 0.344936, 0.0123371, 19.3875, 1.36161, 8.3144
61, 7, 750.487, 0.00793662, -4.2399, 0.228578, 14.1009, 0.000198557, 0.428758, 0.012885, 47.3475, 2.91418, 8.14958
35, 0, 737.194, 0.0196547, 10.5423, 6.98119, 11.9202, 1.87386e-05, 1.1395, 0.0471335, 3.29337, 0.255556, 21.1288
35, 1, 737.536, 0.0111612, -3.34235, 0.479879, 12.0836, 0.000191286, 0.32839, 0.01419, 33.3723, 3.04098, 8.77068
35, 2, 735.437, 0.00496453, -4.07405, 0.18517, 14.2643, 0.00017657, 0.289626, 0.0110962, 31.9485, 2.31674, 7.72512
32, 0, 736.849, 0.0697871, -3.38603, 0.659744, 13.8621, 0.000574198, 1.4434, 0.0649402, 182.816, 12.0811, 25.7821
32, 1, 735.579, 0.0182665, 14.6682, 1.99943, 13.866, 0.000304054, 0.141472, 0.0255768, 12.1285, 4.58551, 16.5575
32, 2, 735.582, 0.0211067, -0.184179, 2.58696, 13.8673, 0.000117644, 0.176795, 0.0740972, 2, 1.44021, 14.1711
32, 3, 737.55, 0.0309438, -0.0686043, 0.036854, 11.5749, 0.000154407, 0.719155, 0.033137, 24.7956, 2.82276, 7.54253
32, 4, 737.392, 0.00371713, -1.19019, 0.168618, 11.8549, 9.03711e-05, 0.385209, 0.0105067, 24.0009, 1.15168, 7.53313
60, 0, 750.828, 0.00621194, 2.68864, 2.4814, 13.0153, 1.1586e-05, 0.738513, 0.023537, 2.04689, 0.103292, 10.7967
